AFC Bournemouth,AFCB,205,16,23,11,7,4,1620
Arsenal FC,ARS,255,255,255,229,0,9,1840
Burnley FC,BFC,98,51,15,143,210,240,1637
Chelsea FC,CFC,255,255,255,5,62,143,1793
Crystal Palace,CPFC,255,255,255,28,68,135,1634
Everton FC,EVE,255,255,255,39,68,136,1695
Hull City,HUL,250,161,43,14,2,2,1589
Leicester City,LEC,7,81,148,255,255,255,1812
Liverpool FC,LFC,255,255,255,218,0,41,1800
Manchester City,MCFC,86,113,145,255,255,255,1848
Manchester United,MUFC,191,4,2,250,229,0,1789
Middlesbrough FC,MFC,255,255,255,227,21,37,1595
Southampton FC,SFC,255,255,255,242,18,72,1778
Stoke City,STO,227,58,65,38,70,146,1682
Sunderland AFC,SUN,255,255,255,212,24,26,1655
Swansea City,SWC,255,255,255,2,2,2,1688
Tottenham Hotspur,TOT,255,255,255,6,24,90,1804
Watford FC,WFC,246,242,31,0,5,0,1624
West Bromwich Albion,WBA,255,255,255,5,21,79,1645
West Ham United,WHU,129,48,57,92,191,220,1724
